Symbol,Company Name,Security Price,Volume (90 Day Avg),Market Capitalization,Dividend Yield,Company Headquarters Location,Sector,Industry,Optionable
MRK,Merck & Co Inc,89.26,10.61551,$226.12B,3.09209,United States of America,Health Care,Pharmaceuticals,Yes (Option Chain)
RHHBY,Roche Holding AG,40.62,1.96164,$225.49B,3.05441,Switzerland,Health Care,Pharmaceuticals,No
TMO,Thermo Fisher Scientific Inc,563.71,1.33408,$220.86B,0.21288,United States of America,Health Care,Life Sciences Tools & Services,Yes (Option Chain)
AVGO,Broadcom Inc,520.86,2.20481,$210.33B,3.14864,United States of America,Information Technology,Semiconductors & Semiconductor Equipment,Yes (Option Chain)
DIS,Walt Disney Co (The),114.07,13.2771,$207.96B,,United States of America,Communication Services,Entertainment,Yes (Option Chain)
TM,Toyota Motor Corp,151.77,0.23089,$207.74B,1.65245,Japan,Consumer Discretionary,Automobiles,Yes (Option Chain)
AZN,Astrazeneca PLC,66.32,6.527,$205.52B,2.8649,United Kingdom,Health Care,Pharmaceuticals,Yes (Option Chain)
DHR,Danaher Corp,280.33,2.41842,$203.92B,0.35672,United States of America,Health Care,Life Sciences Tools & Services,Yes (Option Chain)
ASML,ASML Holding NV,509.94,1.06424,$203.68B,1.44687,Netherlands,Information Technology,Semiconductors & Semiconductor Equipment,Yes (Option Chain)
SHEL,Shell Plc,54.88,5.07324,$199.65B,4.44606,United Kingdom,Energy,"Oil, Gas & Consumable Fuels",No
ORCL,Oracle Corp,74.65,7.40426,$198.94B,1.71467,United States of America,Information Technology,Software,Yes (Option Chain)
CSCO,Cisco Systems Inc,45.89,22.69997,$190.03B,3.31227,United States of America,Information Technology,Communications Equipment,Yes (Option Chain)
MCD,McDonald's Corp,256.95,2.64173,$189.04B,2.14828,United States of America,Consumer Discretionary,"Hotels, Restaurants & Leisure",Yes (Option Chain)
NVO,Novo Nordisk A/S,108.69,1.55802,$189.02B,1.47223,Denmark,Health Care,Pharmaceuticals,Yes (Option Chain)
ACN,Accenture PLC,298.13,2.11356,$188.58B,1.30145,Ireland,Information Technology,IT Services,Yes (Option Chain)
VZ,Verizon Communications Inc,43.25,21.35754,$181.64B,5.91908,United States of America,Communication Services,Diversified Telecommunication Services,Yes (Option Chain)
NVS,Novartis AG,82.68,2.19686,$180.47B,4.02183,Switzerland,Health Care,Pharmaceuticals,Yes (Option Chain)
TMUS,T-Mobile US Inc,143.02,4.35589,$179.35B,,United States of America,Communication Services,Wireless Telecommunication Services,Yes (Option Chain)
ABT,Abbott Laboratories,101.9,5.015,$178.45B,1.84495,United States of America,Health Care,Health Care Equipment & Supplies,Yes (Option Chain)
ADBE,Adobe Inc,381.02,2.85354,$178.32B,,United States of America,Information Technology,Software,Yes (Option Chain)
NEE,NextEra Energy Inc,88.06,9.23582,$173.02B,1.9305,United States of America,Utilities,Electric Utilities,Yes (Option Chain)
UPS,United Parcel Service Inc,198.93,3.17134,$172.80B,3.05635,United States of America,Industrials,Air Freight & Logistics,Yes (Option Chain)
NKE,Nike Inc,108.28,7.038,$169.84B,1.12671,United States of America,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Yes (Option Chain)
WFC,Wells Fargo & Co,43.97,20.77742,$166.78B,2.72913,United States of America,Financials,Banks,Yes (Option Chain)
CRM,SALESFORCE INC,165.23,7.24985,$165.23B,,United States of America,Information Technology,Software,Yes (Option Chain)
CMCSA,Comcast Corp,36.8,24.11996,$162.41B,2.93478,United States of America,Communication Services,Media,Yes (Option Chain)
QCOM,QUALCOMM Inc.,138.38,9.17999,$155.40B,2.16794,United States of America,Information Technology,Semiconductors & Semiconductor Equipment,Yes (Option Chain)
TXN,Texas Instruments Inc,169.49,5.75751,$154.86B,2.71402,United States of America,Information Technology,Semiconductors & Semiconductor Equipment,Yes (Option Chain)
BMY,Bristol-Myers Squibb Co,71.19,12.04353,$152.01B,3.03413,United States of America,Health Care,Pharmaceuticals,Yes (Option Chain)
PM,Philip Morris International Inc,96.55,4.99443,$149.67B,5.17866,United States of America,Consumer Staples,Tobacco,Yes (Option Chain)
MS,Morgan Stanley,86.81,7.96113,$149.04B,3.57102,United States of America,Financials,Capital Markets,Yes (Option Chain)
BHP,BHP Group Ltd,58.88,3.5833,$149.00B,11.0394,Australia,Materials,Metals & Mining,Yes (Option Chain)
AMD,Advanced Micro Devices Inc,91.18,97.79871,$147.19B,,United States of America,Information Technology,Semiconductors & Semiconductor Equipment,Yes (Option Chain)
UNP,Union Pacific Corp,231.27,2.69651,$144.42B,2.24845,United States of America,Industrials,Road & Rail,Yes (Option Chain)
COP,Conocophillips,112.12,7.74592,$142.73B,3.96004,United States of America,Energy,"Oil, Gas & Consumable Fuels",Yes (Option Chain)
LIN,Linde Plc,286.25,2.27931,$142.66B,1.63493,United Kingdom,Materials,Chemicals,Yes (Option Chain)
RTX,Raytheon Technologies Corp,93.52,4.78041,$138.08B,2.35244,United States of America,Industrials,Aerospace & Defense,Yes (Option Chain)
TTE,TotalEnergies SE,53.75,2.23682,$137.80B,5.46823,France,Energy,"Oil, Gas & Consumable Fuels",No
INTC,Intel Corp,33.36,37.95072,$136.98B,4.3765,United States of America,Information Technology,Semiconductors & Semiconductor Equipment,Yes (Option Chain)
SCHW,Schwab (Charles) Corp,71.89,8.081,$136.38B,1.22409,United States of America,Financials,Capital Markets,Yes (Option Chain)
RY,Royal Bank of Canada,95.85,0.9582,$135.87B,4.13299,Canada,Financials,Banks,Yes (Option Chain)
EQNR,Equinor ASA,41.55,3.40086,$134.85B,2.79182,Norway,Energy,"Oil, Gas & Consumable Fuels",Yes (Option Chain)
CVS,CVS Health Corp,100.06,5.05601,$131.36B,2.19868,United States of America,Health Care,Health Care Providers & Services,Yes (Option Chain)
HON,Honeywell International Inc,193.06,2.88907,$130.06B,2.03046,United States of America,Industrials,Industrial Conglomerates,Yes (Option Chain)
AMGN,Amgen Inc,240.65,3.02118,$128.73B,3.2246,United States of America,Health Care,Biotechnology,Yes (Option Chain)
T,AT&T Inc,17.89,42.15738,$127.48B,6.20458,United States of America,Communication Services,Diversified Telecommunication Services,Yes (Option Chain)
INTU,Intuit Inc.,448.46,1.79314,$126.50B,0.69571,United States of America,Information Technology,Software,Yes (Option Chain)
LOW,Lowe's Cos Inc,200.99,3.80968,$124.75B,2.08966,United States of America,Consumer Discretionary,Specialty Retail,Yes (Option Chain)
HSBC,HSBC Holdings PLC,30.86,2.97782,$123.24B,4.37459,United Kingdom,Financials,Banks,Yes (Option Chain)
AMT,American Tower Corp,261.19,1.84397,$121.61B,2.18998,United States of America,Real Estate,Equity Real Estate Investment Trusts (REITs),Yes (Option Chain)
SPGI,S&P Global Inc,364.06,2.31735,$121.41B,0.93391,United States of America,Financials,Capital Markets,Yes (Option Chain)
TD,Toronto-Dominion Bank (The),66.6,2.31306,$121.13B,4.13582,Canada,Financials,Banks,Yes (Option Chain)
BX,Blackstone Inc,98.55,4.65494,$119.54B,5.91578,United States of America,Financials,Capital Markets,Yes (Option Chain)
MDT,Medtronic PLC,89.43,5.56402,$118.91B,3.04149,Ireland,Health Care,Health Care Equipment & Supplies,Yes (Option Chain)
AXP,American Express Co,157.31,3.30676,$117.94B,1.32223,United States of America,Financials,Consumer Finance,Yes (Option Chain)
IBM,International Business Machines Corp,130.38,5.32392,$117.76B,5.06213,United States of America,Information Technology,IT Services,Yes (Option Chain)
UL,Unilever PLC,46.02,3.44327,$117.14B,4.07345,United Kingdom,Consumer Staples,Personal Products,Yes (Option Chain)
ELV,Elevance Health Inc,483.48,1.03365,$116.04B,1.05899,United States of America,Health Care,Health Care Providers & Services,No
DE,DEERE & COMPANY,379.38,1.75189,$115.95B,1.19142,United States of America,Industrials,Machinery,Yes (Option Chain)
GS,Goldman Sachs Group Inc (The),336.4,2.43178,$114.83B,2.97265,United States of America,Financials,Capital Markets,Yes (Option Chain)
LMT,Lockheed Martin Corp,431.13,1.25148,$114.31B,2.59782,United States of America,Industrials,Aerospace & Defense,Yes (Option Chain)
HDB,H D F C Bank Ltd,61.0,1.91301,$113.10B,0.95159,India,Financials,Banks,Yes (Option Chain)
PYPL,PayPal Holdings Inc,92.7,16.26901,$107.21B,,United States of America,Information Technology,IT Services,Yes (Option Chain)
ADP,Automatic Data Processing Inc,250.48,1.64626,$104.08B,1.66081,United States of America,Information Technology,IT Services,Yes (Option Chain)
DEO,Diageo PLC,179.58,0.41933,$102.26B,2.12187,United Kingdom,Consumer Staples,Beverages,Yes (Option Chain)
SNY,Sanofi,40.82,2.8063,$102.21B,4.27937,France,Health Care,Pharmaceuticals,Yes (Option Chain)
BLK,Blackrock Inc,676.44,0.86398,$101.99B,2.8857,United States of America,Financials,Capital Markets,Yes (Option Chain)
BP,BP PLC,32.33,12.27003,$101.45B,4.45852,United Kingdom,Energy,"Oil, Gas & Consumable Fuels",Yes (Option Chain)
CAT,Caterpillar Inc,191.92,3.02115,$101.32B,2.50104,United States of America,Industrials,Machinery,Yes (Option Chain)
SONY,Sony Group Corporation,81.71,0.72032,$101.06B,0.65202,Japan,Consumer Discretionary,Household Durables,No
NFLX,Netflix Inc,223.28,13.17531,$99.29B,,United States of America,Communication Services,Entertainment,Yes (Option Chain)
JD,JD.com Inc,63.46,10.80529,$98.71B,,China,Consumer Discretionary,Internet & Direct Marketing Retail,Yes (Option Chain)
SAP,SAP SE,84.24,1.29673,$98.53B,2.46456,Germany,Information Technology,Software,Yes (Option Chain)
BA,Boeing Co,164.53,9.78085,$97.70B,,United States of America,Industrials,Aerospace & Defense,Yes (Option Chain)
SBUX,Starbucks Corp,84.06,8.61392,$96.45B,2.33167,United States of America,Consumer Discretionary,"Hotels, Restaurants & Leisure",Yes (Option Chain)
C,Citigroup Inc,49.78,21.53565,$96.41B,4.09803,United States of America,Financials,Banks,Yes (Option Chain)
PLD,Prologis Inc,128.35,4.10699,$95.03B,2.46202,United States of America,Real Estate,Equity Real Estate Investment Trusts (REITs),Yes (Option Chain)
EL,Estee Lauder Cos Inc (The),261.88,1.50097,$93.47B,0.91645,United States of America,Consumer Staples,Personal Products,Yes (Option Chain)
DTEGY,Deutsche Telekom AG,18.57,0.25315,$92.33B,3.74009,Germany,Communication Services,Diversified Telecommunication Services,No
BTI,British American Tobacco PLC,40.73,2.80597,$91.65B,6.91574,United Kingdom,Consumer Staples,Tobacco,Yes (Option Chain)
NOW,ServiceNow Inc,444.69,1.75426,$89.83B,,United States of America,Information Technology,Software,Yes (Option Chain)
GBOOY,Grupo Financiero Banorte SA De CV Gfnorte,31.09,,$89.65B,6.94695,Mexico,Financials,Banks,No
ENB,Enbridge Inc,43.57,3.6136,$88.22B,6.18079,Canada,Energy,"Oil, Gas & Consumable Fuels",Yes (Option Chain)
CI,Cigna Corp,284.87,1.82238,$86.92B,1.57265,United States of America,Health Care,Health Care Providers & Services,Yes (Option Chain)
MDLZ,Mondelez International Inc,62.73,7.3052,$85.98B,2.45497,United States of America,Consumer Staples,Food Products,Yes (Option Chain)
CNI,Canadian National Railway Co,123.47,1.32671,$85.34B,1.83608,Canada,Industrials,Road & Rail,Yes (Option Chain)
AMAT,Applied Materials Inc,98.8,7.55239,$85.00B,1.05263,United States of America,Information Technology,Semiconductors & Semiconductor Equipment,Yes (Option Chain)
BUD,Anheuser-Busch InBev SA/NV,49.67,1.35395,$84.48B,2.27203,Belgium,Consumer Staples,Beverages,Yes (Option Chain)
DUK,Duke Energy Corp,108.73,2.7349,$83.72B,3.69723,United States of America,Utilities,Electric Utilities,Yes (Option Chain)
SO,Southern Co (The),78.2,4.73991,$83.13B,3.47826,United States of America,Utilities,Electric Utilities,Yes (Option Chain)
MMC,Marsh & McLennan Companies Inc,165.96,1.88026,$82.82B,1.42203,United States of America,Financials,Insurance,Yes (Option Chain)
MO,Altria Group Inc,45.88,10.56293,$82.62B,8.19529,United States of America,Consumer Staples,Tobacco,Yes (Option Chain)
GE,General Electric Co,75.27,6.91916,$82.54B,0.42514,United States of America,Industrials,Industrial Conglomerates,Yes (Option Chain)
ADI,Analog Devices Inc,158.67,3.39824,$81.61B,1.91593,United States of America,Information Technology,Semiconductors & Semiconductor Equipment,Yes (Option Chain)
CB,Chubb Ltd,193.51,1.77065,$80.82B,1.71567,Switzerland,Financials,Insurance,Yes (Option Chain)
SYK,Stryker Corp,207.0,1.47356,$78.31B,1.343,United States of America,Health Care,Health Care Equipment & Supplies,Yes (Option Chain)
INFY,Infosys Ltd,18.64,9.76274,$78.18B,2.16652,India,Information Technology,IT Services,Yes (Option Chain)
GILD,Gilead Sciences Inc,62.37,7.16082,$78.17B,4.68174,United States of America,Health Care,Biotechnology,Yes (Option Chain)
BAM,Brookfield Asset Management Inc,49.18,1.6738,$76.81B,1.13867,Canada,Financials,Capital Markets,Yes (Option Chain)
BKNG,Booking Holdings Inc,1910.96,0.41935,$75.88B,,United States of America,Consumer Discretionary,"Hotels, Restaurants & Leisure",Yes (Option Chain)
ISRG,Intuitive Surgical Inc,211.09,2.16603,$75.38B,,United States of America,Health Care,Health Care Equipment & Supplies,Yes (Option Chain)
CCI,Crown Castle Inc,173.41,1.54997,$75.09B,3.39081,United States of America,Real Estate,Equity Real Estate Investment Trusts (REITs),Yes (Option Chain)
NOC,Northrop Grumman Corp,485.13,0.77616,$75.05B,1.42642,United States of America,Industrials,Aerospace & Defense,Yes (Option Chain)
ZTS,Zoetis Inc,159.89,1.91636,$74.85B,0.81306,United States of America,Health Care,Pharmaceuticals,Yes (Option Chain)
IBN,Icici Bank Ltd,21.43,8.07465,$74.61B,0.58867,India,Financials,Banks,Yes (Option Chain)
RIO,Rio Tinto Group,59.71,3.5839,$74.60B,11.45537,United Kingdom,Materials,Metals & Mining,Yes (Option Chain)
TGT,Target Corp,160.62,5.58713,$73.92B,2.68958,United States of America,Consumer Discretionary,Multiline Retail,Yes (Option Chain)
CP,Canadian Pacific Railway Ltd,79.43,2.29959,$73.86B,0.74031,Canada,Industrials,Road & Rail,Yes (Option Chain)
TJX,TJX Companies Inc (The),62.89,6.68012,$73.68B,1.87629,United States of America,Consumer Discretionary,Specialty Retail,Yes (Option Chain)
MMM,3M Co,129.14,4.49468,$73.56B,4.61515,United States of America,Industrials,Industrial Conglomerates,Yes (Option Chain)
PGR,Progressive Corp (The),125.16,2.87032,$73.19B,0.31959,United States of America,Financials,Insurance,Yes (Option Chain)
EOG,EOG Resources Inc.,124.57,4.17286,$73.00B,2.40828,United States of America,Energy,"Oil, Gas & Consumable Fuels",Yes (Option Chain)
PDD,Pinduoduo,57.57,12.06084,$72.79B,,China,Consumer Discretionary,Internet & Direct Marketing Retail,Yes (Option Chain)
BDX,Becton Dickinson and Co,253.73,1.03046,$72.36B,1.37154,United States of America,Health Care,Health Care Equipment & Supplies,Yes (Option Chain)
VRTX,Vertex Pharmaceuticals Inc,281.68,1.60134,$72.24B,,United States of America,Health Care,Biotechnology,Yes (Option Chain)
ABNB,Airbnb Inc,112.82,7.27694,$72.15B,,United States of America,Consumer Discretionary,"Hotels, Restaurants & Leisure",Yes (Option Chain)
WM,Waste Management Inc.,171.51,1.66038,$70.89B,1.51595,United States of America,Industrials,Commercial Services & Supplies,Yes (Option Chain)
CME,CME Group Inc,196.35,1.49389,$70.57B,2.03718,United States of America,Financials,Capital Markets,Yes (Option Chain)
CSX,CSX Corp,32.63,15.98029,$69.87B,1.22587,United States of America,Industrials,Road & Rail,Yes (Option Chain)
D,Dominion Energy Inc,83.08,3.31011,$69.16B,3.21377,United States of America,Utilities,Multi-Utilities,Yes (Option Chain)
BNS,The Bank of Nova Scotia,57.36,1.47543,$69.08B,5.55743,Canada,Financials,Banks,Yes (Option Chain)
USB,U.S. Bancorp,46.49,6.8226,$69.07B,3.95784,United States of America,Financials,Banks,Yes (Option Chain)
OXY,Occidental Petroleum Corp,73.55,27.44331,$68.51B,0.707,United States of America,Energy,"Oil, Gas & Consumable Fuels",Yes (Option Chain)
CHTR,Charter Communications Inc,425.77,1.36926,$68.40B,,United States of America,Communication Services,Media,Yes (Option Chain)
GSK,GSK plc,33.19,6.29146,$67.50B,5.58166,United Kingdom,Health Care,Pharmaceuticals,Yes (Option Chain)
PNC,The PNC Financial Services Group Inc,162.19,1.98924,$66.52B,3.69936,United States of America,Financials,Banks,Yes (Option Chain)
ZURVY,Zurich Insurance Group AG,44.79,,$66.45B,9.67158,Switzerland,Financials,Insurance,No
FISV,Fiserv Inc.,103.83,3.25018,$66.41B,,United States of America,Information Technology,IT Services,Yes (Option Chain)
BMO,Bank of Montreal,98.48,0.67675,$66.14B,4.39517,Canada,Financials,Banks,Yes (Option Chain)
CL,Colgate-Palmolive Co,79.21,4.76265,$66.07B,2.37344,United States of America,Consumer Staples,Household Products,Yes (Option Chain)
MUFG,Mitsubishi UFJ Financial Group,5.24,3.2548,$65.15B,2.02964,Japan,Financials,Banks,Yes (Option Chain)
REGN,Regeneron Pharmaceuticals Inc,596.18,0.63069,$64.99B,,United States of America,Health Care,Biotechnology,Yes (Option Chain)
TFC,Truist Financial Corp,48.19,6.62289,$63.92B,4.31625,United States of America,Financials,Banks,Yes (Option Chain)
CNQ,Canadian Natural Resources Ltd,56.9,2.97938,$63.81B,4.07939,Canada,Energy,"Oil, Gas & Consumable Fuels",Yes (Option Chain)
GD,General Dynamics Corp,232.59,1.26394,$63.79B,2.1669,United States of America,Industrials,Aerospace & Defense,Yes (Option Chain)
MU,Micron Technology Inc.,57.63,17.31947,$63.57B,0.7982,United States of America,Information Technology,Semiconductors & Semiconductor Equipment,Yes (Option Chain)
SNOW,Snowflake Inc,197.71,7.62625,$62.89B,,United States of America,Information Technology,IT Services,Yes (Option Chain)
LRCX,Lam Research Corp,453.31,1.41127,$62.10B,1.52214,United States of America,Information Technology,Semiconductors & Semiconductor Equipment,Yes (Option Chain)
F,Ford Motor Co,15.41,62.05709,$61.95B,3.89358,United States of America,Consumer Discretionary,Automobiles,Yes (Option Chain)
ITW,Illinois Tool Works Inc.,199.47,1.1009,$61.76B,2.62696,United States of America,Industrials,Machinery,Yes (Option Chain)
VALE,Vale SA,13.45,34.38419,$61.75B,21.69528,Brazil,Materials,Metals & Mining,Yes (Option Chain)
HUM,Humana Inc.,486.71,0.79987,$61.60B,0.6472,United States of America,Health Care,Health Care Providers & Services,Yes (Option Chain)
ATVI,Activision Blizzard Inc,78.63,5.20306,$61.51B,0.59774,United States of America,Communication Services,Entertainment,Yes (Option Chain)
PXD,Pioneer Natural Resources Co,257.38,2.55924,$61.43B,9.07996,United States of America,Energy,"Oil, Gas & Consumable Fuels",Yes (Option Chain)
SHW,Sherwin-Williams Co (The),235.7,1.80658,$61.09B,1.01824,United States of America,Materials,Chemicals,Yes (Option Chain)
EQIX,Equinix Inc,670.74,0.48544,$61.09B,1.8487,United States of America,Real Estate,Equity Real Estate Investment Trusts (REITs),Yes (Option Chain)
PSA,Public Storage,344.52,0.73613,$60.48B,2.32207,United States of America,Real Estate,Equity Real Estate Investment Trusts (REITs),Yes (Option Chain)
AON,Aon plc,285.87,0.93885,$60.30B,0.78357,United Kingdom,Financials,Insurance,Yes (Option Chain)
WMMVY,"Wal-Mart De Mexico SA De Cv, Mexico",34.47,0.0676,$60.19B,2.2302,Mexico,Consumer Staples,Food & Staples Retailing,No
NSC,Norfolk Southern Corp,252.99,1.22139,$59.42B,1.96055,United States of America,Industrials,Road & Rail,Yes (Option Chain)
NTES,Netease Inc,90.06,1.98709,$59.15B,1.7233,China,Communication Services,Entertainment,Yes (Option Chain)
HCA,HCA Healthcare Inc,204.98,1.97852,$58.83B,1.09279,United States of America,Health Care,Health Care Providers & Services,Yes (Option Chain)
EPD,Enterprise Products Partners LP,26.88,6.48104,$58.58B,7.06845,United States of America,Energy,"Oil, Gas & Consumable Fuels",Yes (Option Chain)
APD,Air Products and Chemicals Inc.,262.23,1.10417,$58.16B,2.47111,United States of America,Materials,Chemicals,Yes (Option Chain)
BSX,Boston Scientific Corp,40.52,8.15908,$58.01B,,United States of America,Health Care,Health Care Equipment & Supplies,Yes (Option Chain)
ICE,Intercontinental Exchange Inc,103.59,3.16204,$57.85B,1.46732,United States of America,Financials,Capital Markets,Yes (Option Chain)
GM,General Motors Co,39.23,15.8752,$57.20B,,United States of America,Consumer Discretionary,Automobiles,Yes (Option Chain)
FDX,FedEx Corp.,218.16,2.21307,$56.70B,2.10854,United States of America,Industrials,Air Freight & Logistics,Yes (Option Chain)
FIS,Fidelity National Information Services Inc,93.09,3.41292,$56.60B,2.01955,United States of America,Information Technology,IT Services,Yes (Option Chain)
UBER,Uber Technologies Inc,28.58,33.37967,$56.59B,,United States of America,Industrials,Road & Rail,Yes (Option Chain)
EW,Edwards Lifesciences Corp,91.24,2.73272,$56.56B,,United States of America,Health Care,Health Care Equipment & Supplies,Yes (Option Chain)
ETN,Eaton Corp Plc,141.08,1.88215,$56.19B,2.29657,Ireland,Industrials,Electrical Equipment,Yes (Option Chain)
BNPQY,BNP Paribas,22.73,0.46913,$56.02B,12.65656,France,Financials,Banks,No
PANW,Palo Alto Networks Inc,560.69,1.57619,$55.86B,,United States of America,Information Technology,Software,Yes (Option Chain)
SLB,Schlumberger Ltd,39.42,13.29002,$55.76B,1.77575,United States of America,Energy,Energy Equipment & Services,Yes (Option Chain)
PBR,Petroleo Brasileiro S.A.- Petrobras,14.74,31.05549,$54.85B,42.71928,Brazil,Energy,"Oil, Gas & Consumable Fuels",Yes (Option Chain)
KDP,Keurig Dr Pepper Inc,38.62,10.39916,$54.69B,1.942,United States of America,Consumer Staples,Beverages,Yes (Option Chain)
SNPS,Synopsys Inc,355.0,0.96165,$54.28B,,United States of America,Information Technology,Software,Yes (Option Chain)
NTR,Nutrien Ltd,100.41,3.19252,$54.11B,1.91216,Canada,Materials,Chemicals,Yes (Option Chain)
MCO,Moody's Corp.,292.91,0.91284,$53.75B,0.95593,United States of America,Financials,Capital Markets,Yes (Option Chain)
AXAHY,"Axa, Paris",23.27,0.23666,$53.61B,6.96648,France,Financials,Insurance,No
TRI,Thomson Reuters Corp,110.64,0.51332,$53.48B,1.60882,Canada,Industrials,Professional Services,Yes (Option Chain)
MRNA,Moderna Inc,136.7,5.43733,$53.48B,,United States of America,Health Care,Biotechnology,Yes (Option Chain)
ABB,ABB Ltd,28.17,2.22403,$53.33B,3.11067,Switzerland,Industrials,Electrical Equipment,Yes (Option Chain)
DG,Dollar General Corporation,236.32,1.88442,$53.31B,0.93094,United States of America,Consumer Discretionary,Multiline Retail,Yes (Option Chain)
MET,Metlife Inc.,65.68,4.31017,$52.39B,3.04507,United States of America,Financials,Insurance,Yes (Option Chain)
SRE,Sempra,166.54,1.47678,$52.35B,2.75009,United States of America,Utilities,Multi-Utilities,Yes (Option Chain)
AEP,American Electric Power Co Inc,101.82,2.66487,$52.31B,3.06423,United States of America,Utilities,Electric Utilities,Yes (Option Chain)
HEINY,Heineken NV,45.33,0.06548,$52.18B,1.6831,Netherlands,Consumer Staples,Beverages,No
MPC,Marathon Petroleum Corp,104.34,5.97896,$52.03B,2.2235,United States of America,Energy,"Oil, Gas & Consumable Fuels",Yes (Option Chain)
BIDU,Baidu Inc,147.71,2.8274,$51.41B,,China,Communication Services,Interactive Media & Services,Yes (Option Chain)
CNC,Centene Corp,89.94,2.82915,$51.41B,,United States of America,Health Care,Health Care Providers & Services,Yes (Option Chain)
MCK,McKesson Corp,356.79,1.07584,$51.28B,0.6054,United States of America,Health Care,Health Care Providers & Services,Yes (Option Chain)
RELX,RELX PLC,26.69,1.11867,$51.24B,2.37677,United Kingdom,Industrials,Professional Services,No
UBS,UBS Group AG,15.65,3.53408,$50.98B,3.18649,Switzerland,Financials,Capital Markets,Yes (Option Chain)
KLAC,KLA Corp,359.18,1.42014,$50.93B,1.44774,United States of America,Information Technology,Semiconductors & Semiconductor Equipment,Yes (Option Chain)
