ticker,sector,industry,earnings_date,currency,curr_price_date,foll_price_date,current_price,following_price,percent_change,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
TTE,Energy,"Oil, Gas & Consumable Fuels",2017-12-31,EUR,2018-01-05,2018-12-07,44.8548,43.76,-0.02440764422090834,33585000000,149099000000,115514000000,115514000000,7019000000,22189000000,912000000,138567000000,None,-842000000,1108000000,936000000,None,None,None,192000000,11328000000,3029000000,None,8299000000,None,12596000000,12788000000,8631000000,22319000000,None,None,None,None,192000000,13767000000,None,-476000000,None,-11632000000,-5540000000,None,None,None,None,2643000000,2643000000,None,None,None,None,519000000,None,None,None,242631000000,84948000000,33185000000,33185000000,16520000000,None,157683000000,109397000000,None,13160000000,13160000000,1427000000,None,25446000000,3221000000,3764000000,3047000000,128594000000,56705000000,None,None,None,11096000000,71889000000,None,39141000000,11096000000,None,52436000000,18711000000,None,111556000000,-458000000,79158000000,7882000000,2568750000
DE,Industrials,Machinery,2017-10-29,USD,2017-11-03,2018-10-05,126.1029,148.6,0.17840271714607664,6019000000,29738000000,23719000000,20101500000,3574000000,3098000000,1373000000,4481500000,1575000000,-899500000,-500000,899000000,42000000,-23500000,726000000,18000000,3130000000,971000000,899500000,2159200000,3221000000,4029000000,4047000000,2159000000,2196000000,903000000,None,968000000,2144200000,1716000000,2592300000,839000000,1305000000,2159000000,-1662000000,4286000000,1310000000,6000000,6200000,None,764000000,764000000,None,None,8702200000,None,522500000,None,4999100000,157100000,65786000000,13239000000,9334900000,9334900000,3904100000,None,7039700000,5068000000,None,1251300000,218000000,1033000000,4792900000,182500000,451600000,36909700000,-5953600000,56211800000,30337700000,None,None,None,14153700000,25891300000,None,4118700000,14153700000,25891300000,4118700000,11371100000,7417900000,9557300000,15460800000,25301300000,4281000000,321600000
SONY,Consumer Discretionary,Household Durables,2017-03-31,JPY,2017-04-07,2018-03-09,32.08,51.4,0.6022443890274315,1940096000000,7603250000000,5663154000000,5663154000000,434140000000,1505956000000,0,1505956000000,None,-3085000000,-32670000000,14544000000,None,0,None,624553000000,251619000000,124058000000,None,127561000000,None,211891000000,836444000000,73289000000,809262000000,None,None,None,None,624553000000,333509000000,0,11199000000,None,-1255022000000,452302000000,None,None,None,None,25301000000,25301000000,None,None,None,None,0,None,0,0,17660556000000,4355722000000,960142000000,960142000000,640835000000,None,13304834000000,758199000000,0,584185000000,584185000000,522538000000,None,10111793000000,1051441000000,25363000000,1229161000000,14525134000000,5221739000000,None,None,None,518079000000,9303395000000,0,657390000000,518079000000,None,1199541000000,697193000000,7780336000000,2497246000000,-4335000000,984368000000,860645000000,1288343000
SNY,Health Care,Pharmaceuticals,2017-12-31,USD,2018-01-05,2018-12-07,37.9424,38.7581,0.021498376486463685,24593000000,36204000000,11611000000,11611000000,7201000000,10058000000,5472000000,17392000000,None,-273000000,147000000,420000000,None,0,None,3686000000,5530000000,1722000000,None,3912000000,None,10576000000,14262000000,8434000000,7379000000,None,None,None,None,3686000000,1956000000,0,-145000000,None,-2896000000,-7902000000,None,None,None,None,3710000000,3710000000,None,None,None,None,-2162000000,None,0,0,99826000000,26386000000,10315000000,10315000000,6816000000,None,73440000000,9579000000,0,13080000000,13080000000,40264000000,None,5381000000,77000000,503000000,846000000,41568000000,15457000000,None,None,None,1275000000,26111000000,0,14326000000,1275000000,None,15601000000,9549000000,1026000000,58089000000,-999999999999999999.99,999999999999999999.99,2508000000,2513800000
CAT,Industrials,Machinery,2017-12-31,USD,2018-01-05,2018-12-07,145.812,113.7423,-0.21993868817381293,11416000000,45462000000,31260000000,31049000000,4460000000,4999000000,1842000000,41002000000,122000000,-531000000,-409000000,531000000,-213000000,153000000,2555000000,323000000,4093000000,3339000000,None,759000000,1601000000,4460000000,4783000000,754000000,5706000000,2958000000,None,1257000000,2638000000,2877000000,898000000,1151000000,1295000000,759000000,-966000000,-3657000000,-3058000000,0,0,None,1831000000,1831000000,None,None,None,None,566000000,None,1121000000,38000000,76962000000,36244000000,8261000000,8261000000,10018000000,None,39268000000,9823000000,17383000000,8311000000,2111000000,6200000000,1756000000,243000000,338000000,1772000000,2027000000,63196000000,26931000000,6487000000,None,4837000000,4837000000,36546000000,437000000,20412000000,11031000000,23847000000,25249000000,8220000000,4053000000,13766000000,17005000000,26301000000,5593000000,597600000
AMAT,Information Technology,Semiconductors & Semiconductor Equipment,2017-10-29,USD,2017-11-03,2018-10-05,53.355,35.5638,-0.3334495361259488,6612000000,14698000000,8086000000,8086000000,3936000000,890000000,1781000000,2676000000,None,-198000000,61000000,198000000,39000000,78000000,214000000,407000000,3816000000,297000000,198000000,3434000000,3570000000,4014000000,4421000000,3519000000,3789000000,435000000,61000000,696000000,1084000000,407000000,345000000,37000000,809000000,3434000000,-2526000000,341000000,None,1172000000,1172000000,None,430000000,430000000,None,97000000,2176000000,None,-1075000000,None,1604000000,None,19419000000,12918000000,5010000000,7276000000,2707000000,2395000000,5594000000,1066000000,2245000000,3368000000,412000000,3368000000,3483000000,1143000000,2266000000,374000000,512000000,10070000000,4115000000,945000000,1284000000,None,5304000000,5955000000,None,5304000000,0,5304000000,5304000000,1505000000,99000000,9630000000,15912000000,18258000000,11000000,1060000000
PLD,Real Estate,Equity Real Estate Investment Trusts (REITs),2017-12-31,USD,2018-01-05,2018-12-07,56.2623,61.4561,0.09231403621963545,3847128000,2618134000,1834863000,724664000,1954031000,231059000,None,1847068000,None,-274486000,13731000,274486000,1600504000,13731000,None,879140000,1706934000,54609000,342865000,1760959000,1688140000,1981420000,2860560000,1652325000,1687246000,278313000,None,36374000,-37278000,751000,1606133000,None,None,1760959000,543278000,-2606584000,283255000,None,13182000,13182000,942884000,942884000,None,None,2419797000,None,19676000,None,-360270000,15790000,29481075000,447046000,447046000,447046000,342060000,None,6004523000,21889119000,None,468271000,468271000,None,33167655000,5496450000,None,444239000,22528774000,10775334000,3000000,None,15754000,None,317392000,9688069000,None,9412631000,9412631000,None,9412631000,67069000,659899000,15631158000,None,-2904461000,5322000,532186000
LMT,Industrials,Aerospace & Defense,2017-12-31,USD,2018-01-05,2018-12-07,294.3403,261.3921,-0.11193913983236405,6371000000,49960000000,43589000000,43589000000,6744000000,169000000,1200000000,1364000000,None,-651000000,-651000000,651000000,73000000,-847000000,760000000,1195000000,5319000000,3356000000,651000000,1890000000,1526000000,5970000000,7165000000,1963000000,6476000000,610000000,None,-107000000,218000000,1072000000,1177000000,902000000,79000000,2002000000,-1147000000,-4305000000,0,2000000000,2001000000,None,2163000000,2163000000,None,None,0,None,-1930000000,None,1024000000,None,46620000000,17505000000,2861000000,4261000000,2878000000,2265000000,27349000000,5775000000,9586000000,14604000000,3797000000,10807000000,2800000000,1400000000,1400000000,1509000000,5580000000,47396000000,12913000000,1467000000,None,750000000,0,34493000000,None,14263000000,750000000,13513000000,14263000000,1883000000,4548000000,-683000000,None,11405000000,284000000,284000000
UL,Consumer Staples,Personal Products,2017-12-31,USD,2018-01-05,2018-12-07,48.1508,48.4438,0.006085049469583192,23168000000,53715000000,30547000000,30547000000,8857000000,5845000000,900000000,14311000000,None,-412000000,-226000000,661000000,None,0,None,1538000000,8153000000,1667000000,None,6486000000,None,8381000000,9919000000,6053000000,7292000000,None,None,None,None,1538000000,1667000000,0,-104000000,None,-5879000000,-1433000000,None,None,None,None,3916000000,3916000000,None,None,None,None,-5666000000,None,0,0,60285000000,16983000000,1984000000,1984000000,3962000000,None,43302000000,12270000000,0,11520000000,11520000000,16881000000,None,0,377000000,10660000000,3217000000,45898000000,23177000000,None,None,None,7705000000,22721000000,131000000,16007000000,7694000000,None,23832000000,7255000000,554000000,13629000000,-9208000000,26648000000,484000000,2814000000
IBM,Information Technology,IT Services,2017-12-31,USD,2018-01-05,2018-12-07,126.6979,97.2862,-0.23214039064578032,36943000000,79139000000,42196000000,41703000000,8813000000,19680000000,5590000000,27414000000,None,-615000000,144000000,615000000,None,216000000,3021000000,1520000000,11395000000,5642000000,615000000,5758000000,8559000000,12010000000,13530000000,5753000000,16724000000,1208000000,None,47000000,-1315000000,4541000000,3229000000,-1297000000,-18000000,5753000000,-7081000000,-6418000000,620000000,4340000000,4340000000,None,5506000000,5506000000,None,None,9643000000,None,-4165000000,None,4146000000,937000000,125356000000,49735000000,11972000000,12580000000,1583000000,31630000000,69446000000,11116000000,21215000000,40530000000,3742000000,36788000000,894000000,137000000,608000000,3942000000,-2224000000,107631000000,37363000000,6451000000,15298000000,6987000000,1773000000,75565000000,None,45052000000,5214000000,39837000000,46825000000,12374000000,9965000000,17594000000,163507000000,153126000000,54566000000,922179225
ANTM,Health Care,Health Care Providers & Services,2017-12-31,USD,2018-01-05,2018-12-07,222.581,269.6283,0.2113715905670297,-67874000000,90040000000,157913400000,0,4175000000,12650000000,None,13339000000,908000000,-739000000,-739000000,739000000,83352300000,None,111000000,769400000,3964000000,121000000,1021400000,3842800000,4009000000,4703000000,5472400000,3843000000,4185000000,72530700000,None,1533200000,686700000,1491400000,799500000,22000000,None,3842800000,-5082000000,427000000,1080600000,1998000000,1997700000,None,705000000,704900000,None,0,5457800000,None,-1772400000,None,-466000000,4000000,70540000000,36263000000,3609000000,24602600000,None,36300000,34870800000,2175000000,2198000000,27599000000,8368000000,19231000000,25386200000,3937400000,20993700000,2249000000,565000000,44037000000,23356000000,None,None,2549600000,1275000000,20033800000,None,18657000000,1275000000,17382000000,19932000000,3343000000,925000000,26503000000,None,18054000000,3000000,256084913
GS,Financials,Capital Markets,2017-12-31,USD,2018-01-05,2018-12-07,235.5509,167.92,-0.287117985963968,14331000000,42911000000,20367000000,13057000000,-2318000000,15309000000,None,16649000000,None,2932000000,13113000000,10181000000,29798000000,None,None,1152000000,11132000000,6846000000,10067000000,4286000000,3622000000,21313000000,22465000000,4286000000,-20489000000,11170000000,139000000,-5296000000,11327000000,150000000,3185000000,None,None,4286000000,-26377000000,35206000000,None,6772000000,7622000000,850000000,1769000000,1769000000,None,None,None,0,-6127000000,None,-11660000000,None,916776000000,110051000000,110051000000,110051000000,315988000000,None,89638000000,-8280000000,8280000000,4038000000,373000000,3665000000,248536000000,275000000,580321000000,-94002000000,471605000000,834533000000,133460000000,None,None,118667000000,88577000000,227579000000,None,276982000000,30090000000,227579000000,365559000000,366967000000,260492000000,82243000000,75392000000,91519000000,9000000,374808805
HDB,Financials,Banks,2017-03-31,INR,2017-04-07,2018-03-09,37.4922,47.4963,0.2668315009521981,0,462121700000,0,0,0,167300700000,0,9497000000,None,351795600000,725554300000,373758700000,None,0,None,8879900000,219965500000,79224900000,None,140740600000,None,219965500000,None,140529800000,379272200000,None,None,None,None,8879900000,12628500000,0,0,None,-11476802000,1253976600000,None,None,None,None,29280900000,29280900000,None,None,None,None,22615100000,None,0,0,9066980500000,8953071300000,566712600000,566712600000,0,None,113909200000,38146997000,0,2000000,2000000,74937900000,None,2146749300000,2111385600000,436780059000,-2146749300000,8039079400000,6643927818000,None,None,None,322265600000,0,0,730920700000,322265600000,None,1053186300000,166670863000,0,1026053600000,0,364471900000,5125091000,1721555180
NOW,Information Technology,Software,2017-12-31,USD,2018-01-05,2018-12-07,135.01,182.38,0.3508628990445153,1418632000,1933026000,499862000,499772000,-64396000,1157150000,377518000,1483028000,None,-53394000,None,53394000,1918494000,None,93200000,134962000,-113406000,3440000,53394000,-149130000,-88406000,-60012000,74950000,-116846000,642940000,None,None,376058000,328151000,113875000,157180000,99693000,None,-149130000,-883948000,538892000,None,55000000,55000000,None,None,None,None,None,772127000,54071000,81638000,None,297769000,None,3550245000,2421951000,726495000,1779298000,None,434895000,1384615000,245124000,235113000,215644000,86916000,128728000,1450045000,397242000,1052803000,None,51832000,2771501000,2039479000,32109000,1320383000,543418000,None,713141000,None,2346872000,543418000,630018000,2346872000,None,65884000,778744000,None,None,174000,174275864
DEO,Consumer Staples,Beverages,2017-06-30,USD,2017-07-07,2018-06-08,105.1042,133.4375,0.26957343284093305,7370000000,12050000000,4680000000,4680000000,3559000000,1798000000,33000000,3811000000,None,-347000000,15000000,526000000,None,0,None,361000000,3559000000,732000000,None,2827000000,None,3920000000,4281000000,2662000000,3132000000,None,None,None,None,361000000,518000000,0,-159000000,None,-552000000,-2458000000,None,None,None,None,1515000000,1515000000,None,None,None,None,-41000000,None,0,0,28848000000,8652000000,1191000000,1191000000,4788000000,None,20196000000,4014000000,0,9843000000,9843000000,2723000000,None,3122000000,81000000,57000000,658000000,16820000000,6660000000,None,None,None,2459000000,10160000000,183000000,6583000000,2459000000,None,9042000000,1128000000,407000000,10313000000,-2176000000,5475000000,797000000,630750000
C,Financials,Banks,2017-12-31,USD,2018-01-05,2018-12-07,66.3213,52.4508,-0.20914095471590566,64993000000,72444000000,7451000000,51275000000,-11275000000,33233000000,None,33927000000,None,45061000000,61579000000,16518000000,27383000000,1437000000,None,603000000,22590000000,29388000000,16517000000,-6687000000,-9589000000,39108000000,39711000000,-6798000000,-50919000000,15675000000,None,-18419000000,9968000000,603000000,3361000000,None,None,-6738000000,-58228000000,66854000000,13751000000,14541000000,14541000000,0,3797000000,3797000000,1213000000,None,67960000000,0,-14541000000,None,20022000000,693000000,1917383000000,188105000000,188105000000,188105000000,99000000,None,27266000000,None,None,27266000000,5220000000,22046000000,607512000000,614724000000,1109000000,-35322000000,922314000000,1720309000000,32346000000,None,None,32346000000,32346000000,231999000000,None,231999000000,32346000000,193800000000,264345000000,1402747000000,56150000000,196220000000,44370000000,151347000000,31000000,2400900000
BLK,Financials,Capital Markets,2017-12-31,USD,2018-01-05,2018-12-07,472.3988,362.285,-0.23309500362829028,31107000000,32701000000,1594000000,5668000000,5254000000,1462000000,None,8346000000,49000000,-205000000,49000000,205000000,11487000000,210000000,None,132000000,5222000000,270000000,205000000,5007000000,5236000000,5427000000,5559000000,4952000000,3950000000,209000000,None,527000000,955000000,106000000,155000000,521000000,None,4989000000,-608000000,-2630000000,None,1421000000,1421000000,None,1662000000,1662000000,None,None,697000000,None,-1421000000,None,803000000,192000000,220241000000,7729000000,6894000000,7729000000,835000000,None,31201000000,592000000,658000000,30609000000,17389000000,13220000000,1981000000,1981000000,835000000,24304000000,177298000000,187977000000,1161000000,None,None,None,5014000000,187181000000,None,5014000000,5014000000,5200000000,5014000000,24446000000,176060000000,31798000000,3967000000,16966000000,2000000,159977115
AMT,Real Estate,Equity Real Estate Investment Trusts (REITs),2017-12-31,USD,2018-01-05,2018-12-07,130.0011,156.5432,0.2041682724223103,9319900000,6663900000,3813200000,34600000,1998400000,637000000,None,2045400000,None,-749600000,47400000,749600000,6469200000,31300000,835500000,785900000,1269600000,30700000,70200000,1225400000,1259900000,2019200000,2805100000,1238900000,2925600000,712100000,20700000,141700000,371000000,1641400000,835400000,191100000,None,1225400000,-2800900000,-113000000,0,766300000,766300000,None,1164400000,1073000000,91400000,0,0,0,-646600000,None,1933200000,None,33214300000,2038100000,802100000,803100000,None,621500000,31055500000,11101000000,5848900000,17421700000,11783300000,5638400000,None,1000000,1000000,549300000,950100000,25260000000,2512100000,142900000,778000000,774800000,3710600000,21918700000,None,16494500000,774800000,19430300000,20205100000,1325600000,1244200000,6241500000,974000000,-1058100000,4400000,428820000
BA,Industrials,Aerospace & Defense,2017-12-31,USD,2018-01-05,2018-12-07,294.2648,314.0918,0.06737808939431424,17393000000,94005000000,76612000000,75996000000,10344000000,4094000000,3179000000,7605000000,None,-541000000,-344000000,541000000,21000000,123000000,None,240000000,10107000000,1649000000,360000000,8197000000,8444000000,10344000000,10888000000,8458000000,13346000000,527000000,None,3785000000,2906000000,2047000000,1870000000,1821000000,1403000000,8456000000,-2058000000,-11350000000,None,9236000000,9236000000,None,3417000000,3417000000,None,None,None,None,-8925000000,None,18000000,80000000,112362000000,85194000000,8813000000,9992000000,72438000000,10516000000,24091000000,12672000000,17641000000,8132000000,2573000000,5559000000,2439000000,1260000000,1179000000,2417000000,2027000000,110706000000,74648000000,12202000000,None,1335000000,600000000,35652000000,138000000,10380000000,683000000,None,10980000000,15292000000,2015000000,1656000000,43454000000,49618000000,5061000000,1012261159
GSK,Health Care,Pharmaceuticals,2017-12-31,USD,2018-01-05,2018-12-07,29.9231,31.4303,0.05036911282587691,19844000000,30186000000,10342000000,10342000000,6061000000,9672000000,4476000000,13783000000,None,-667000000,-646000000,736000000,None,0,None,1922000000,3525000000,1356000000,None,2169000000,None,3624000000,5546000000,1532000000,6918000000,None,None,None,None,1922000000,2202000000,0,-461000000,None,-1443000000,-6380000000,None,None,None,None,3906000000,3906000000,None,None,None,None,-65000000,None,0,0,56381000000,15907000000,3833000000,3833000000,5557000000,None,40474000000,10860000000,0,17562000000,17562000000,5734000000,None,40731185779.36,78000000,6439000000,1499000000,52892000000,26569000000,None,None,None,2825000000,26323000000,66000000,14221000000,2802000000,None,17089000000,20216000000,5096000000,-68000000,-999999999999999999.99,-6477000000,1343000000,2470500000
GE,Industrials,Industrial Conglomerates,2017-12-31,USD,2018-01-05,2018-12-07,136.9373,53.1745,-0.6116872466449974,2493000000,99279000000,119599000000,91934000000,-19483000000,14257000000,5504000000,21976000000,105000000,-1724000000,-944000000,4869000000,118244000000,None,4332000000,2290000000,-11292000000,-2808000000,None,-8253000000,-4300000000,-19483000000,-17193000000,-8484000000,6554000000,6719000000,None,-335000000,3580000000,7429000000,7920000000,-2356000000,-324000000,-8849000000,5379000000,-18484000000,1794000000,None,None,None,8650000000,8650000000,None,None,None,None,-2550000000,None,-5507000000,891000000,369245000000,108245000000,43299000000,43397000000,19419000000,40846000000,186976000000,53874000000,35733000000,79094000000,20273000000,58821000000,38696000000,67557000000,98000000,4243000000,64385000000,292355000000,69052000000,15172000000,None,24036000000,24036000000,182284000000,None,110555000000,24655000000,None,134591000000,39550000000,62976000000,56031000000,84902000000,117245000000,702000000,8680571000
TGT,Consumer Discretionary,Multiline Retail,2018-02-03,USD,2018-02-09,2019-01-11,65.3427,64.9435,-0.006109328203456444,20754000000,71938000000,68581000000,51125000000,4224000000,15140000000,None,17456000000,None,-653000000,-530000000,653000000,72591000000,59000000,2462000000,2225000000,3630000000,722000000,776000000,2908000000,2922000000,4224000000,6508000000,2908000000,6935000000,678000000,None,1726000000,504000000,2476000000,2533000000,None,348000000,2908000000,-3075000000,-3729000000,None,1046000000,1046000000,None,1338000000,1338000000,None,None,739000000,None,-938000000,None,131000000,None,40303000000,12540000000,737000000,2643000000,8597000000,None,25879000000,24536000000,18398000000,709000000,79000000,630000000,None,383000000,1906000000,1300000000,1343000000,28652000000,13052000000,8677000000,None,281000000,270000000,15600000000,885000000,10440000000,270000000,None,11387000000,3392000000,1866000000,11651000000,None,6495000000,45000000,541681670
BUD,Consumer Staples,Beverages,2017-12-31,USD,2018-01-05,2018-12-07,105.9475,67.8115,-0.35995186295098996,35058000000,56444000000,21386000000,21386000000,17591000000,3841000000,276000000,17467000000,None,-5461000000,-4841000000,5007000000,None,None,None,4276000000,11076000000,1920000000,None,9156000000,None,14923000000,19199000000,7996000000,15430000000,None,None,None,None,4276000000,4741000000,None,-213000000,None,7854000000,-21004000000,None,None,None,None,9275000000,9275000000,None,None,None,None,0,None,None,None,246126000000,23960000000,10472000000,10472000000,4018000000,None,222166000000,27184000000,None,45874000000,45874000000,140940000000,None,5363000000,1304000000,1120000000,1589000000,165906000000,36211000000,None,None,None,7550000000,129695000000,213000000,108763000000,7523000000,None,116499000000,13391000000,None,72585000000,-8980000000,28394000000,1736000000,2010000000
ISRG,Health Care,Health Care Equipment & Supplies,2017-12-31,USD,2018-01-05,2018-12-07,126.3367,163.8967,0.2973007843326604,2202000000,3136800000,934800000,936200000,1062900000,810500000,328600000,1139100000,None,41900000,41900000,None,32700000,41900000,82100000,12900000,1104800000,433900000,None,660000000,664300000,1062900000,1075800000,670900000,1143900000,147500000,None,317300000,162800000,116200000,190700000,81700000,115500000,670900000,378700000,-1913100000,None,2274000000,2274000000,None,None,None,None,None,None,None,-1443000000,None,-388400000,2100000,5776800000,2808900000,648200000,1960600000,241200000,511900000,2726100000,613100000,347000000,227100000,26000000,201100000,3846500000,1885900000,1312400000,97200000,133700000,996400000,662800000,82500000,284500000,None,None,654200000,None,None,None,None,None,168900000,22000000,4778800000,None,115000000,100000,112300000
INFY,Information Technology,IT Services,2017-03-31,USD,2017-04-07,2018-03-09,6.6494,8.1253,0.22195987607904463,3762000000,10208000000,6446000000,6446000000,2575000000,485000000,0,1187000000,None,380000000,380000000,0,None,None,None,254000000,2974000000,834000000,None,2140000000,None,2974000000,3228000000,2140000000,2099000000,None,None,None,None,254000000,411000000,None,0,None,-2547000000,-1032000000,None,None,None,None,1032000000,1032000000,None,None,None,None,0,None,None,None,12854000000,8282000000,3489000000,3489000000,20000000,None,4572000000,1807000000,None,120000000,120000000,563000000,None,995000000,1538000000,574000000,1004000000,2217000000,2161000000,None,None,None,0,56000000,None,0,0,None,None,1206000000,6000000,10637000000,0,12190000000,199000000,4572793490
SYK,Health Care,Health Care Equipment & Supplies,2017-12-31,USD,2018-01-05,2018-12-07,154.0877,162.908,0.057242077076885264,8180000000,12444000000,4264000000,4271000000,2297000000,4552000000,787000000,5883000000,None,-247000000,-178000000,247000000,None,-227000000,271000000,371000000,2063000000,1043000000,247000000,1020000000,1228000000,2297000000,2681000000,1020000000,1559000000,264000000,None,815000000,482000000,859000000,598000000,162000000,320000000,1020000000,-1613000000,-794000000,-200000000,230000000,230000000,None,636000000,636000000,None,None,499000000,None,-230000000,None,-774000000,74000000,22197000000,7993000000,2542000000,2793000000,2465000000,2198000000,14613000000,1975000000,1825000000,10645000000,3477000000,7168000000,107000000,5000000,251000000,537000000,1301000000,12217000000,3485000000,487000000,None,632000000,0,9115000000,None,7250000000,632000000,6590000000,7222000000,1207000000,881000000,9966000000,None,8986000000,37000000,374400000
SBUX,Consumer Discretionary,"Hotels, Restaurants & Leisure",2017-09-30,USD,2017-10-06,2018-09-07,50.4843,51.3674,0.01749256699607613,10311000000,22386800000,12075800000,7065800000,4134700000,1733300000,None,3495200000,None,-92500000,275300000,92500000,46600000,275300000,None,1011400000,4317300000,1432600000,92500000,2884900000,2837500000,4409800000,5421200000,2884700000,4251800000,96600000,None,46400000,82800000,1067100000,1519400000,96800000,-14000000,2884900000,-850000000,-3079100000,None,2042500000,2042500000,None,1450400000,1450400000,None,150800000,750200000,None,-1891700000,None,333500000,10800000,14365600000,5283400000,2462300000,2690900000,1364000000,938400000,9624500000,4919500000,6664500000,1980600000,441400000,1539200000,481600000,1023900000,228600000,290100000,362800000,8908600000,4220700000,782500000,1288500000,0,0,4693100000,None,3932600000,0,3932600000,3932600000,2149700000,749000000,5450100000,None,5563200000,1400000,1431600000
EL,Consumer Staples,Personal Products,2017-06-30,USD,2017-07-07,2018-06-08,90.317,148.3123,0.6421304959199265,9390000000,11731000000,10612000000,2434000000,1704000000,7460000000,179000000,7686000000,28000000,-103000000,28000000,103000000,10000000,28000000,None,463000000,1610000000,361000000,103000000,1256000000,1310000000,1713000000,2176000000,1249000000,1790000000,597000000,None,278000000,257000000,464000000,504000000,92000000,85000000,1256000000,-2204000000,630000000,165000000,413000000,413000000,None,489000000,486000000,None,None,1498000000,None,-272000000,None,222000000,6000000,11568000000,4964000000,1136000000,1741000000,1479000000,1395000000,6604000000,1671000000,2348000000,3243000000,1327000000,1916000000,1511000000,1026000000,605000000,349000000,664000000,7184000000,2823000000,835000000,None,189000000,19000000,4343000000,None,3383000000,189000000,None,3572000000,768000000,960000000,4384000000,7149000000,8452000000,6000000,368000000
CHTR,Communication Services,Media,2017-12-31,USD,2018-01-05,2018-12-07,350.88,315.7,-0.1002621979024168,35880000000,41581000000,5701000000,26541000000,4106000000,3001000000,None,26541000000,None,-3090000000,-3460000000,-370000000,-192000000,-18000000,7800000000,2700000000,808000000,-9087000000,-330000000,10115000000,9901000000,4106000000,3138000000,9895000000,11954000000,3480000000,None,449000000,8000000,10130000000,8681000000,84000000,None,10115000000,-8098000000,-4770000000,None,11715000000,11715000000,None,153000000,153000000,None,0,25276000000,None,-11599000000,None,-914000000,None,146623000000,2555000000,621000000,621000000,None,1635000000,144599000000,33888000000,18077000000,109354000000,79800000000,29554000000,497000000,0,None,299000000,1356000000,107539000000,11090000000,740000000,395000000,2045000000,2045000000,70980000000,None,70231000000,2045000000,68186000000,70231000000,7910000000,2502000000,39084000000,0,3832000000,None,240833636
RIO,Materials,Metals & Mining,2017-12-31,USD,2018-01-05,2018-12-07,37.9805,33.94,-0.1063835389212886,24223000000,40030000000,15807000000,15807000000,12663000000,2338000000,58000000,25131000000,None,-834000000,-817000000,975000000,None,None,None,4375000000,12816000000,3965000000,None,8851000000,None,13702000000,18077000000,8762000000,13884000000,None,None,None,None,4375000000,4482000000,None,-482000000,None,-2373000000,-9141000000,None,None,None,None,4250000000,4250000000,None,None,None,None,-2083000000,None,None,None,95726000000,18678000000,8310000000,8310000000,3472000000,None,77048000000,62093000000,None,2726000000,2726000000,1037000000,None,4719000000,1055000000,5841000000,3740000000,44611000000,11349000000,None,None,None,34000000,33262000000,53000000,14575000000,548000000,None,15176000000,8094000000,85000000,44711000000,None,23761000000,4360000000,1786700000
BP,Energy,"Oil, Gas & Consumable Fuels",2017-12-31,USD,2018-01-05,2018-12-07,33.4152,32.4209,-0.029755919461801682,18904000000,240208000000,221304000000,221304000000,7919000000,10508000000,391000000,10985000000,None,-1637000000,1374000000,1421000000,None,None,None,15584000000,7180000000,3712000000,None,3468000000,None,8522000000,24106000000,3389000000,18931000000,None,None,None,None,15584000000,16562000000,None,-848000000,None,-14077000000,-3296000000,None,None,None,None,6153000000,6153000000,None,None,None,None,-343000000,None,None,None,276515000000,74968000000,25586000000,25586000000,19011000000,None,201547000000,129471000000,None,1329000000,1329000000,11551000000,None,26230000000,125000000,30246000000,12716000000,176111000000,64726000000,None,None,None,7739000000,111385000000,656000000,54873000000,7701000000,None,62612000000,30004000000,None,98491000000,-16958000000,75226000000,5322000000,3302740333
